Category: All categories,,,,,,
Week,AI: (United States),stocks: (United States),debt: (United States),environment: (United States),politics: (United States),Donald Trump: (United States)
11/4/12,26,47,64,73,100,1
11/11/12,29,43,64,81,27,0
11/18/12,16,33,51,57,18,0
11/25/12,29,41,64,81,20,0
12/2/12,24,41,65,84,21,0
12/9/12,23,39,56,78,21,0
12/16/12,22,37,49,60,17,0
12/23/12,20,33,45,30,12,0
12/30/12,29,43,64,44,14,0
1/6/13,21,44,67,68,16,0
1/13/13,29,46,70,75,18,0
1/20/13,36,46,68,75,18,0
1/27/13,30,52,68,82,18,0
2/3/13,38,51,65,84,18,0
2/10/13,28,49,66,77,18,0
2/17/13,30,47,70,76,19,0
2/24/13,23,50,70,83,19,0
3/3/13,32,53,68,81,19,0
3/10/13,18,48,67,79,17,0
3/17/13,30,46,64,80,17,0
3/24/13,24,42,67,70,16,0
3/31/13,25,43,66,72,16,0
4/7/13,26,46,69,87,19,0
4/14/13,32,46,67,85,18,0
4/21/13,29,47,67,93,19,0
4/28/13,30,46,67,89,20,0
5/5/13,29,47,65,83,18,0
5/12/13,31,48,64,81,20,0
5/19/13,32,46,58,75,18,0
5/26/13,21,42,58,67,16,0
6/2/13,28,41,60,74,16,0
6/9/13,31,38,61,74,15,0
6/16/13,33,38,63,55,14,0
6/23/13,24,37,64,53,15,0
6/30/13,26,32,54,46,13,0
7/7/13,24,38,64,51,13,0
7/14/13,34,40,63,51,15,0
7/21/13,29,41,65,51,14,0
7/28/13,33,42,62,49,13,0
8/4/13,35,42,62,51,14,0
8/11/13,30,40,62,53,14,0
8/18/13,56,38,66,59,14,0
8/25/13,31,37,61,70,16,0
9/1/13,30,37,55,74,18,0
9/8/13,37,42,63,88,20,0
9/15/13,30,55,63,88,19,0
9/22/13,27,64,66,89,20,0
9/29/13,21,59,73,87,23,0
10/6/13,25,54,80,86,23,0
10/13/13,33,55,89,82,24,0
10/20/13,31,56,68,86,21,0
10/27/13,28,53,63,82,21,0
11/3/13,34,58,64,85,24,0
11/10/13,32,56,65,84,20,0
11/17/13,21,55,63,88,21,0
11/24/13,22,42,45,56,16,0
12/1/13,20,48,58,81,19,0
12/8/13,24,48,58,80,20,0
12/15/13,29,48,53,66,17,0
12/22/13,29,52,40,29,11,0
12/29/13,24,59,57,36,12,0
1/5/14,26,71,63,62,17,0
1/12/14,33,67,68,80,19,0
1/19/14,27,63,67,77,17,0
1/26/14,38,67,72,83,18,0
2/2/14,24,67,69,80,18,0
2/9/14,36,64,71,80,18,0
2/16/14,30,63,72,76,18,0
2/23/14,32,70,70,85,20,0
3/2/14,36,69,67,78,18,0
3/9/14,27,63,67,76,17,0
3/16/14,26,61,68,78,16,0
3/23/14,36,60,71,79,17,0
3/30/14,25,62,66,80,17,0
4/6/14,26,57,70,84,18,0
4/13/14,27,49,68,82,17,0
4/20/14,26,51,70,91,18,0
4/27/14,22,50,67,89,19,0
5/4/14,25,48,65,88,19,0
5/11/14,33,46,65,83,18,0
5/18/14,42,44,64,80,16,0
5/25/14,24,41,60,71,15,0
6/1/14,32,42,64,77,15,0
6/8/14,33,45,73,69,14,0
6/15/14,35,40,64,71,13,0
6/22/14,36,39,64,55,13,0
6/29/14,35,38,57,49,13,0
7/6/14,30,42,69,52,15,0
7/13/14,36,42,68,55,14,0
7/20/14,40,42,71,55,14,0
7/27/14,27,43,70,53,13,0
8/3/14,40,39,69,54,14,0
8/10/14,32,37,65,55,14,0
8/17/14,35,40,63,64,16,0
8/24/14,24,40,62,74,17,0
8/31/14,35,39,59,78,18,0
9/7/14,32,46,64,94,20,0
9/14/14,35,52,66,94,20,0
